regione,popolazione,eta,eta_class,eta_class2
Piemonte,27785,0,"[0,10)",0-15
Valle d'Aosta,835,0,"[0,10)",0-15
Liguria,8632,0,"[0,10)",0-15
Lombardia,72560,0,"[0,10)",0-15
Trentino Alto Adige / Südtirol,9468,0,"[0,10)",0-15
P.A. Bolzano,5225,0,"[0,10)",0-15
P.A. Trento,4243,0,"[0,10)",0-15
Veneto,33275,0,"[0,10)",0-15
Friuli Venezia Giulia,7450,0,"[0,10)",0-15
Emilia-Romagna,30914,0,"[0,10)",0-15
Toscana,23220,0,"[0,10)",0-15
Umbria,5488,0,"[0,10)",0-15
Marche,9582,0,"[0,10)",0-15
Lazio,38162,0,"[0,10)",0-15
Abruzzo,8372,0,"[0,10)",0-15
Molise,1888,0,"[0,10)",0-15
Campania,46010,0,"[0,10)",0-15
Puglia,27126,0,"[0,10)",0-15
Basilicata,3630,0,"[0,10)",0-15
Calabria,14177,0,"[0,10)",0-15
Sicilia,37683,0,"[0,10)",0-15
Sardegna,8717,0,"[0,10)",0-15
P.A. Trento,4427,1,"[0,10)",0-15
Valle d'Aosta,893,1,"[0,10)",0-15
Emilia-Romagna,32779,1,"[0,10)",0-15
Basilicata,3639,1,"[0,10)",0-15
Lombardia,76022,1,"[0,10)",0-15
P.A. Bolzano,5309,1,"[0,10)",0-15
Liguria,8971,1,"[0,10)",0-15
Marche,10140,1,"[0,10)",0-15
Sicilia,39459,1,"[0,10)",0-15
Sardegna,9211,1,"[0,10)",0-15
Calabria,14777,1,"[0,10)",0-15
Abruzzo,8810,1,"[0,10)",0-15
Lazio,42329,1,"[0,10)",0-15
Piemonte,28996,1,"[0,10)",0-15
Veneto,35392,1,"[0,10)",0-15
Trentino Alto Adige / Südtirol,9736,1,"[0,10)",0-15
Puglia,28416,1,"[0,10)",0-15
Friuli Venezia Giulia,7802,1,"[0,10)",0-15
Toscana,24713,1,"[0,10)",0-15
Molise,1863,1,"[0,10)",0-15
Campania,47138,1,"[0,10)",0-15
Umbria,5699,1,"[0,10)",0-15
Valle d'Aosta,888,2,"[0,10)",0-15
Emilia-Romagna,33739,2,"[0,10)",0-15
Sardegna,10006,2,"[0,10)",0-15
Basilicata,3898,2,"[0,10)",0-15
Trentino Alto Adige / Südtirol,10024,2,"[0,10)",0-15
Campania,49346,2,"[0,10)",0-15
Toscana,26112,2,"[0,10)",0-15
Marche,10706,2,"[0,10)",0-15
Umbria,5992,2,"[0,10)",0-15
Puglia,29647,2,"[0,10)",0-15
Molise,2079,2,"[0,10)",0-15
Sicilia,40502,2,"[0,10)",0-15
Abruzzo,9436,2,"[0,10)",0-15
Calabria,15345,2,"[0,10)",0-15
Friuli Venezia Giulia,8229,2,"[0,10)",0-15
Veneto,36931,2,"[0,10)",0-15
Lazio,44307,2,"[0,10)",0-15
P.A. Trento,4584,2,"[0,10)",0-15
Piemonte,30833,2,"[0,10)",0-15
Lombardia,79620,2,"[0,10)",0-15
Liguria,9674,2,"[0,10)",0-15
P.A. Bolzano,5440,2,"[0,10)",0-15
Umbria,6381,3,"[0,10)",0-15
Lazio,46590,3,"[0,10)",0-15
Abruzzo,9971,3,"[0,10)",0-15
Campania,49478,3,"[0,10)",0-15
Emilia-Romagna,35347,3,"[0,10)",0-15
Friuli Venezia Giulia,8615,3,"[0,10)",0-15
P.A. Trento,4737,3,"[0,10)",0-15
Veneto,38142,3,"[0,10)",0-15
